names	rpkm
AT4G17560	1.22541687720294e-11
AT1G17147	3.81712778254182e-14
AT1G72275	2.97937886009314e-12
AT3G59110	5.5553989360394e-12
AT4G00860	3.27552439436369e-11
AT4G15735	2.00716128786793e-13
AT2G07716	8.21352523989746e-14
AT3G13130	2.56878729167513e-13
AT3G59300	3.94465554084111e-12
AT1G60510	2.48673259216139e-12
AT2G37880	4.6114433904696e-12
AT5G48720	4.33902926780639e-12
AT3G08580	2.39171761618512e-10
AT1G73270	4.14905193754545e-14
AT1G15940	2.0711284494295e-11
AT3G27230	1.39399031075305e-11
AT1G11670	9.3033175737355e-13
AT1G48470	4.55180509633648e-14
AT2G20650	1.76756564492416e-12
AT1G49380	2.42253506032898e-12
AT3G14520	5.15333607195454e-12
AT3G05620	2.80141137688691e-13
AT1G05020	4.1713244556151e-14
AT5G49820	4.8372731988912e-12
AT2G30570	6.76640196090012e-11
AT5G15610	1.61080874956851e-11
AT1G01710	4.34613190457886e-12
AT3G20740	4.6585095034809e-12
AT1G76065	1.79990112957811e-12
AT2G41990	3.96021616015292e-11
AT5G05830	4.71210407053891e-12
AT4G30080	3.17533037793689e-12
AT2G40350	7.68165598312835e-13
AT3G02460	2.6240577428784e-12
AT4G27480	9.21542920816957e-13
AT2G30870	1.88901006208184e-11
AT2G41370	5.78794184930872e-13
AT1G55830	2.12696019117165e-12
AT1G78440	1.1781258588092e-13
AT2G08220	2.32304381384672e-14
AT2G36355	2.48733416876822e-12
AT5G58610	2.79731189332086e-13
AT1G56470	1.4248610583162e-13
AT3G02545	1.63345558261925e-12
AT4G18195	2.18845588015373e-14
AT1G80440	1.45134991963815e-12
AT3G15890	2.79081567524764e-12
AT4G09200	2.30837761690057e-11
AT1G04050	3.18765066228439e-12
AT5G63450	5.71366290979211e-14
AT3G57062	5.33188563938315e-12
AT2G36200	6.93715841009367e-12
AT5G66595	3.1491718570688e-14
AT4G31570	3.74338695456523e-12
AT2G01860	1.65449848867553e-12
AT5G41020	1.38306066728984e-11
AT2G19970	4.70435207794343e-13
AT2G42320	1.90415866590156e-12
AT1G20693	8.42415933572602e-11
AT1G56430	5.02950262609532e-14
AT1G51035	7.61821721305615e-14
AT2G45010	6.48645456021867e-12
AT5G23010	3.59675952042661e-13
AT1G23790	5.21680092679626e-12
AT5G20500	3.30190889281579e-11
AT3G03700	1.60579414501577e-12
AT2G19120	8.89124945771702e-13
AT5G65930	6.10228842078726e-12
AT3G01505	2.18506096782682e-11
AT1G43895	2.02208442011974e-13
AT1G24290	2.85533180583837e-12
AT3G16730	2.91346297598843e-12
AT2G20000	4.08727837265618e-12
AT1G16350	2.17854989348186e-11
AT4G16980	5.6464433461475e-12
AT3G45210	1.24538613511213e-12
AT1G59790	1.75097604703753e-14
AT3G48450	1.23658018530766e-13
AT2G47770	3.47677027173032e-14
AT5G50240	9.19412582968686e-13
AT2G33180	1.12461897107969e-12
AT2G36630	7.91929645620687e-13
AT1G66660	3.4391089989159e-12
AT1G67855	3.50929489685296e-13
AT2G40130	4.06304918029661e-14
AT1G62430	6.0454510692089e-12
AT1G60440	4.68276425539481e-12
AT5G15640	4.10327739000252e-12
AT5G00905	1.01535599015612e-11
AT2G39030	3.31166337298149e-14
AT5G57640	6.73231819874464e-13
AT5G19840	7.99054602658853e-13
AT3G60176	3.59392605888476e-14
AT5G28056	6.63059314941438e-15
AT5G37055	2.09924207648658e-12
AT4G14800	1.67238309253893e-11
AT5G36370	1.46782502188501e-10
